"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J28,J12";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"a_motor";;;
2;"J27,J11";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"b_motor";;;
3;"J26,J14";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"x_limit";;;
4;"J25,J13";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"hotend_fan";;;
5;"J24,J10";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"y_limit";;;
6;"J23,J9";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"part_fan";;;
7;"J22,J5";"Molex_Micro-Fit_3.0_43045-1212_2x06_P3.00mm_Vertical";2;"Conn_02x06_Top_Bottom";;;
8;"J21,J8";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"thermistor";;;
9;"J20,J7";"Molex_Micro-Fit_3.0_43045-2412_2x12_P3.00mm_Vertical";2;"Conn_02x12_Top_Bottom";;;
10;"J19";"PinSocket_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
11;"J18,J4";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"extruder";;;
12;"J17,J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"bme280";;;
13;"J16,J3";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"probe";;;
14;"J15";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
15;"J6";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"adxl345";;;
16;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
17;"H8,H7,H6,H5";"MountingHole_2.2mm_M2";4;"MountingHole";;;
18;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
19;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"BAT85";;;
